step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.336846447495223,0,0.0,0.9591034658142299,0,0.0
10.0,0,0.0,0.0,13.839685560183899,0,0.0,0.9563144275134732,0,0.0
15.0,0,0.0,0.0,13.157964080614724,0,0.0,0.9522130429278112,0,0.0
20.0,0,0.0,0.0,12.111429292413934,0,0.0,0.8686412352016152,0,0.0
25.0,0,0.0,0.0,10.874436061555782,0,0.0,0.7509270129727792,0,0.0
30.0,4,11.0,0.6470588235294118,9.350636792321474,4,11.0,0.5124882026163686,4,11.0
35.0,1,2.0,0.09523809523809523,8.74583216452692,1,15.0,0.5687468053078164,1,15.0
40.0,1,4.0,0.21052631578947367,9.502450736675446,1,6.0,0.6144468734645675,1,6.0
45.0,1,1.0,0.045454545454545456,7.769638691190014,1,1.0,0.4342457548734338,1,1.0
50.0,7,24.0,1.0434782608695652,8.286711920419728,7,24.0,0.4377559272862323,7,24.0
55.0,2,10.0,0.4166666666666667,8.430218418417274,2,36.0,0.5206531014619086,2,36.0
60.0,1,1.0,0.045454545454545456,9.562807473826341,1,12.0,0.5914546956910691,1,12.0
65.0,3,7.0,0.25925925925925924,7.8551207565635774,3,19.0,0.48019249061262276,3,19.0
70.0,8,37.0,1.3214285714285714,6.855631492073724,8,48.0,0.3504648076388644,8,48.0
75.0,8,31.0,1.1481481481481481,5.41360955629455,8,65.0,0.2976907562219286,8,65.0
80.0,4,10.0,0.4,6.520133916992473,4,57.0,0.3594901171504754,4,57.0
85.0,2,13.0,0.4482758620689655,9.069209429093757,2,35.0,0.47139323264476973,2,35.0
90.0,3,26.0,0.9285714285714286,9.840032451685442,3,35.0,0.5987762002091439,3,35.0
95.0,0,0.0,0.0,9.495479313991966,0,11.0,0.6199821070412511,0,11.0
100.0,6,18.0,0.6666666666666666,7.567915048608318,6,23.0,0.42964783797233297,6,23.0
105.0,6,15.0,0.5172413793103449,6.970224474795253,6,37.0,0.381154387554536,6,37.0
110.0,3,6.0,0.2222222222222222,7.157602182176578,3,31.0,0.3900820765801228,3,31.0
115.0,3,18.0,0.6,8.553180118069537,3,23.0,0.4620895428707182,3,23.0
120.0,4,35.0,1.1666666666666667,9.380276464254706,4,36.0,0.5394517945785304,4,36.0
125.0,1,1.0,0.034482758620689655,8.578027871528578,1,17.0,0.5202526143801429,1,17.0
130.0,7,20.0,0.6666666666666666,8.29019301450389,7,20.0,0.4704957478758677,7,20.0
135.0,9,61.0,2.44,5.39594889503428,9,61.0,0.2050247617322013,9,61.0
140.0,10,50.0,1.7857142857142858,4.945353055889699,10,93.0,0.33262394319808025,10,93.0
145.0,3,16.0,0.5,6.832267970952035,3,75.0,0.4165602643539467,3,75.0
150.0,1,1.0,0.02631578947368421,6.369778972862446,1,55.0,0.35283601074647647,1,55.0
155.0,8,26.0,0.7027027027027027,6.011672445087024,8,80.0,0.2831472887701062,8,80.0
160.0,13,81.0,2.3142857142857145,4.389505064127319,13,135.0,0.18788979641594195,13,135.0
165.0,20,166.0,4.611111111111111,3.4764717861009133,20,221.0,0.1775229127372842,20,221.0
170.0,26,283.0,7.256410256410256,3.3011799896285927,26,338.0,0.16142178642420724,26,338.0
175.0,24,280.0,6.829268292682927,2.0101253983950946,24,408.0,0.10384348799758827,24,408.0
180.0,23,200.0,4.651162790697675,3.4974595738723457,23,411.0,0.15098733027944944,23,411.0
185.0,17,159.0,3.4565217391304346,5.448164262907293,17,371.0,0.23488538932999875,17,371.0
190.0,6,52.0,1.1818181818181819,5.328615781361598,6,405.0,0.2633618969537017,6,405.0
195.0,7,24.0,0.6,5.81086735354742,7,420.0,0.2756575902061972,7,420.0
200.0,7,28.0,0.6666666666666666,5.5349918394551505,7,411.0,0.2731543091597383,7,411.0
205.0,6,11.0,0.2558139534883721,5.211305508255736,6,344.0,0.22741909260712823,6,344.0
210.0,6,20.0,0.4878048780487805,5.471865184355548,6,238.0,0.19323020194194385,6,238.0
215.0,5,39.0,0.975,6.408400701943788,5,167.0,0.28603535483199377,5,167.0
220.0,5,64.0,1.7777777777777777,8.301919267708175,5,118.0,0.42529107248309633,5,118.0
225.0,5,89.0,2.4722222222222223,8.582104267222103,5,92.0,0.48721615466588575,5,92.0
230.0,3,5.0,0.1388888888888889,7.054582889025664,3,67.0,0.41559537825351733,3,67.0
235.0,8,31.0,0.8611111111111112,6.511227124186269,8,35.0,0.35100173695372416,8,35.0
240.0,14,90.0,2.3076923076923075,5.620598743107821,14,94.0,0.27433381451234173,14,94.0
245.0,14,90.0,2.5714285714285716,3.2570243049569836,14,141.0,0.17945792791811882,14,141.0
250.0,12,57.0,1.6285714285714286,4.261188493360102,12,159.0,0.19883012773164135,12,159.0
255.0,9,47.0,1.205128205128205,6.1991986457354935,9,149.0,0.25603025499913085,9,149.0
260.0,5,47.0,1.205128205128205,7.507311857130112,5,135.0,0.3711249696516795,5,135.0
265.0,1,2.0,0.05128205128205128,7.471993646409242,1,112.0,0.4397457884880918,1,112.0
270.0,6,22.0,0.5789473684210527,6.910611475596916,6,101.0,0.3632246356778163,6,101.0
275.0,7,21.0,0.6,4.963250535049655,7,108.0,0.18965061981661308,7,108.0
280.0,6,11.0,0.28205128205128205,6.8553268546606905,6,68.0,0.3708137982407201,6,68.0
285.0,3,6.0,0.15,6.110866031820537,3,73.0,0.35882744462436633,3,73.0
290.0,8,35.0,0.875,5.2201374632951145,8,98.0,0.22509689088085683,8,98.0
295.0,15,94.0,2.473684210526316,3.9047375854440163,15,157.0,0.1300798251055841,15,157.0
300.0,20,184.0,5.111111111111111,2.415364884450944,20,247.0,0.05164255908310077,20,247.0
305.0,21,182.0,5.2,2.0620720755347643,21,294.0,0.10044444668246584,21,294.0
310.0,18,133.0,3.5,3.7415328330344826,18,288.0,0.1584087511101621,18,288.0
315.0,14,86.0,2.15,4.016999906936907,14,342.0,0.1283040584700665,14,342.0
320.0,14,61.0,1.525,3.8920402454013128,14,404.0,0.11590587473761467,14,404.0
325.0,13,82.0,2.342857142857143,2.7714264431504145,13,463.0,0.13903745196831763,13,463.0
330.0,19,165.0,4.230769230769231,2.19078254115026,19,547.0,0.1284514197247274,19,547.0
335.0,25,279.0,6.642857142857143,2.1209725983828003,25,661.0,0.11309945337855487,25,661.0
340.0,27,282.0,6.558139534883721,1.9029371579476828,27,714.0,0.10366669717630446,27,714.0
345.0,24,216.0,5.023255813953488,2.874072450032054,24,690.0,0.10348262077535214,24,690.0
350.0,15,161.0,3.659090909090909,3.996027396669109,15,703.0,0.13609254687893407,15,703.0
355.0,9,71.0,1.6511627906976745,4.811793553753108,9,757.0,0.18866761338666754,9,757.0
360.0,7,17.0,0.4358974358974359,4.38750157285426,7,711.0,0.2214922848310351,7,711.0
365.0,3,8.0,0.19047619047619047,4.846964274270087,3,584.0,0.20928318547627212,3,584.0
370.0,3,5.0,0.11627906976744186,4.4002675781187826,3,588.0,0.19514913366506043,3,588.0
375.0,8,36.0,0.8780487804878049,3.8478519423497657,8,618.0,0.14091875900458622,8,618.0
380.0,10,36.0,0.9,3.3714417530375274,10,582.0,0.12471860498773198,10,582.0
385.0,7,26.0,0.65,4.0142915970405095,7,465.0,0.1572819061894689,7,465.0
390.0,6,28.0,0.7,5.721340408494693,6,280.0,0.18808814333599236,6,280.0
395.0,5,39.0,0.9512195121951219,7.15487914756979,5,178.0,0.3470579951851809,5,178.0
