step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.679308459436335,0,0.0,0.9606894801342312,0,0.0
10.0,0,0.0,0.0,14.060427481315918,0,0.0,0.932379054489096,0,0.0
15.0,0,0.0,0.0,14.362108662882093,0,0.0,0.9504919436732485,0,0.0
20.0,0,0.0,0.0,13.715542898884763,0,0.0,0.9590624963223393,0,0.0
25.0,0,0.0,0.0,13.167890105933077,0,0.0,0.9313757925986889,0,0.0
30.0,0,0.0,0.0,11.406901178377698,0,0.0,0.8400443481090663,0,0.0
35.0,1,4.0,0.26666666666666666,11.435895154944657,1,4.0,0.8259753148382837,1,4.0
40.0,0,0.0,0.0,10.218514842595097,0,0.0,0.7089733711716674,0,0.0
45.0,5,15.0,0.75,8.803551488149548,5,15.0,0.507819779026626,5,15.0
50.0,2,4.0,0.2,8.512591006485673,2,22.0,0.5502917910046565,2,22.0
55.0,2,7.0,0.35,8.668702390828056,2,10.0,0.5396531836798204,2,10.0
60.0,5,28.0,1.2727272727272727,9.274384095871179,5,28.0,0.5172693871532735,5,28.0
65.0,0,0.0,0.0,9.333933159693466,0,21.0,0.6238265799657842,0,21.0
70.0,3,11.0,0.4583333333333333,9.470206195897878,3,11.0,0.5824914946493454,3,11.0
75.0,7,34.0,1.4166666666666667,8.745505032507204,7,34.0,0.5146177022665738,7,34.0
80.0,5,13.0,0.6190476190476191,5.681511970383358,5,40.0,0.3142685201551237,5,40.0
85.0,0,0.0,0.0,9.009980536100777,0,20.0,0.5369011757722834,0,20.0
90.0,1,3.0,0.1111111111111111,10.702370047351401,1,5.0,0.6825598376201095,1,5.0
95.0,2,12.0,0.48,10.687102285123057,2,12.0,0.6940225423474397,2,12.0
100.0,0,0.0,0.0,8.54878312292889,0,2.0,0.45836987537393514,0,2.0
105.0,5,14.0,0.6666666666666666,8.479006951808206,5,14.0,0.4354932300063296,5,14.0
110.0,1,3.0,0.15,8.816250979748638,1,21.0,0.5931545656293771,1,21.0
115.0,1,2.0,0.09523809523809523,10.392908796281048,1,5.0,0.7552514586465542,1,5.0
120.0,1,7.0,0.2916666666666667,11.207403970227551,1,7.0,0.7637227688560656,1,7.0
125.0,0,0.0,0.0,9.50986747925172,0,1.0,0.6202164904985754,0,1.0
130.0,4,13.0,0.5416666666666666,8.827501081953562,4,13.0,0.5271343327567429,4,13.0
135.0,3,5.0,0.19230769230769232,8.595244272218869,3,22.0,0.520642647759312,3,22.0
140.0,1,6.0,0.24,9.287225086311363,1,11.0,0.5787616290636206,1,11.0
145.0,4,19.0,0.76,9.077552946839274,4,19.0,0.456387511137045,4,19.0
150.0,3,5.0,0.18518518518518517,7.9714025144794896,3,22.0,0.43741140992827227,3,22.0
155.0,4,22.0,0.9565217391304348,9.04550463934878,4,23.0,0.4807954899751897,4,23.0
160.0,7,55.0,2.037037037037037,9.767932148439357,7,55.0,0.5340006847134553,7,55.0
165.0,3,15.0,0.625,8.657038789902321,3,57.0,0.4895702870651851,3,57.0
170.0,1,4.0,0.18181818181818182,7.5520801670931625,1,20.0,0.34615129552360513,1,20.0
175.0,4,17.0,0.7391304347826086,9.914474393637791,4,17.0,0.47744603125795104,4,17.0
180.0,1,2.0,0.08,9.725842403272258,1,12.0,0.616777595863846,1,12.0
185.0,6,22.0,0.8461538461538461,9.827548658959428,6,22.0,0.5933049003234364,6,22.0
190.0,2,5.0,0.2,7.720835839551017,2,29.0,0.5005113290260065,2,29.0
195.0,2,6.0,0.24,8.025365293861261,2,13.0,0.47380555074612524,2,13.0
200.0,4,22.0,0.7586206896551724,9.754968710673046,4,22.0,0.5312475326665532,4,22.0
205.0,2,3.0,0.10714285714285714,8.451840342482347,2,19.0,0.5037059031450206,2,19.0
210.0,8,29.0,1.1153846153846154,8.192172624696111,8,29.0,0.4414804032895294,8,29.0
215.0,4,16.0,0.6153846153846154,7.453465089962558,4,44.0,0.37428833287465046,4,44.0
220.0,1,2.0,0.08333333333333333,8.278436610389138,1,23.0,0.4145942320628943,1,23.0
225.0,1,7.0,0.28,10.859380260147834,1,7.0,0.6848347185873731,1,7.0
230.0,1,2.0,0.08695652173913043,8.842225577813457,1,2.0,0.5224856567917616,1,2.0
235.0,7,26.0,1.2380952380952381,6.246711514534566,7,26.0,0.28224871787206085,7,26.0
240.0,6,20.0,1.0526315789473684,4.404937235446186,6,47.0,0.22188972304314414,6,47.0
245.0,1,5.0,0.2631578947368421,6.975647139337329,1,34.0,0.3517307629401319,1,34.0
250.0,1,10.0,0.45454545454545453,10.476106598111336,1,16.0,0.6303906430844832,1,16.0
255.0,2,17.0,0.8095238095238095,11.55530803111375,2,17.0,0.6667582799551605,2,17.0
260.0,2,27.0,1.4210526315789473,11.126775409904273,2,27.0,0.6331169145548999,2,27.0
265.0,1,1.0,0.058823529411764705,10.360236075047245,1,1.0,0.726430724225038,1,1.0
270.0,2,11.0,0.6875,10.59327520449218,2,11.0,0.6980925046842794,2,11.0
275.0,1,1.0,0.05555555555555555,9.353293969613684,1,2.0,0.6587731870342862,1,2.0
280.0,3,14.0,0.8235294117647058,10.31378297008104,3,14.0,0.6560367243890133,3,14.0
285.0,1,2.0,0.09523809523809523,9.696309040094022,1,8.0,0.6316113848163526,1,8.0
290.0,4,15.0,0.7894736842105263,8.706625512091245,4,15.0,0.5007276271038329,4,15.0
295.0,1,2.0,0.09523809523809523,8.052159056898981,1,17.0,0.5404477431633613,1,17.0
300.0,2,4.0,0.2222222222222222,8.993591691518551,2,6.0,0.5641380460329812,2,6.0
305.0,3,17.0,0.85,8.982355833215903,3,17.0,0.4006529828743321,3,17.0
310.0,1,2.0,0.08695652173913043,9.710571848286936,1,11.0,0.7059871218682963,1,11.0
315.0,1,7.0,0.3333333333333333,11.273398554091138,1,5.0,0.8199907383392897,1,5.0
320.0,0,0.0,0.0,11.482403130773191,0,0.0,0.8361195917258292,0,0.0
325.0,2,5.0,0.25,10.429397167147432,2,5.0,0.6428395384418332,2,5.0
330.0,2,3.0,0.15,8.484051591159147,2,6.0,0.5359784777558372,2,6.0
335.0,6,24.0,1.3333333333333333,7.103204262676402,6,24.0,0.37024593943853285,6,24.0
340.0,3,8.0,0.5333333333333333,5.973909885037514,3,33.0,0.30468471108742856,3,33.0
345.0,1,1.0,0.06666666666666667,9.822189855093656,1,10.0,0.5817856191848262,1,10.0
350.0,1,6.0,0.3,12.61248365279577,1,6.0,0.8584806016916025,1,6.0
355.0,1,11.0,0.55,12.046683606171475,1,11.0,0.8595657213506648,1,11.0
360.0,0,0.0,0.0,10.991573281203738,0,0.0,0.7643639360312033,0,0.0
365.0,3,10.0,0.5882352941176471,9.515432126146434,3,10.0,0.5641850626857566,3,10.0
370.0,2,2.0,0.10526315789473684,7.977998138889856,2,11.0,0.505321545193413,2,11.0
375.0,2,12.0,0.6,10.426322967612,2,12.0,0.7167367889012662,2,12.0
380.0,2,22.0,0.9565217391304348,11.022920267532172,2,22.0,0.7232610363109484,2,22.0
385.0,4,37.0,1.6818181818181819,10.319770140442074,4,37.0,0.5469338788981809,4,37.0
390.0,4,57.0,2.85,9.032456488396154,4,57.0,0.49414205908033587,4,57.0
395.0,2,3.0,0.14285714285714285,8.33911187868356,2,32.0,0.5701167355442106,2,32.0
400.0,4,20.0,0.9090909090909091,9.412381235623746,4,20.0,0.5952847148876538,4,20.0
405.0,1,2.0,0.07407407407407407,8.316775134360748,1,22.0,0.5139743993822707,1,22.0
410.0,3,10.0,0.3448275862068966,8.877116034007711,3,12.0,0.573217074213209,3,12.0
415.0,3,10.0,0.3225806451612903,7.182728366077829,3,21.0,0.4194412844287988,3,21.0
420.0,9,43.0,1.34375,6.540358363181215,9,45.0,0.3004924760745126,9,45.0
425.0,10,42.0,1.3125,5.138437289676935,10,76.0,0.19238039757913555,10,76.0
430.0,7,25.0,0.8333333333333334,5.640514002447898,7,72.0,0.21826797717338817,7,72.0
435.0,2,15.0,0.4838709677419355,8.118578577864325,2,55.0,0.4072540487594382,2,55.0
440.0,1,19.0,0.59375,9.259747511654592,1,37.0,0.5180615244726366,1,37.0
445.0,2,27.0,0.84375,10.401905860681742,2,26.0,0.7124956022162996,2,26.0
450.0,3,38.0,1.1875,10.080165576447934,3,34.0,0.6494687887820513,3,34.0
455.0,4,57.0,2.0357142857142856,9.26450065186408,4,53.0,0.48596919754685824,4,53.0
460.0,2,4.0,0.14814814814814814,7.86154480479767,2,24.0,0.4061085269999768,2,24.0
465.0,7,30.0,1.2,7.723960035164647,7,30.0,0.41130237019475396,7,30.0
470.0,10,75.0,3.260869565217391,6.991738817331577,10,75.0,0.3316927314846897,10,75.0
475.0,6,41.0,1.7083333333333333,6.438307211233831,6,89.0,0.3950142788401325,6,89.0
480.0,2,7.0,0.25,8.063788493076347,2,43.0,0.48562961204359717,2,43.0
485.0,2,17.0,0.5666666666666667,9.192678116672823,2,18.0,0.5510037365753344,2,18.0
490.0,3,6.0,0.2,7.871468213431259,3,10.0,0.4763084357591978,3,10.0
495.0,8,36.0,1.2413793103448276,6.663070751247335,8,37.0,0.2971565452398451,8,37.0
500.0,15,94.0,3.357142857142857,4.722882625307809,15,95.0,0.20673263983944798,15,95.0
505.0,19,181.0,6.961538461538462,2.573587930091579,19,183.0,0.14858872350552788,19,183.0
510.0,17,164.0,5.125,3.53873300093969,17,238.0,0.21186115037034395,17,238.0
515.0,12,80.0,2.1621621621621623,5.029903964909593,12,231.0,0.26297246859269485,12,231.0
520.0,9,38.0,0.8636363636363636,6.882262969464241,9,186.0,0.35096207859884965,9,186.0
525.0,4,9.0,0.21428571428571427,5.8752467920396825,4,203.0,0.3131612997172807,4,203.0
530.0,7,29.0,0.7631578947368421,5.185518775886751,7,229.0,0.22127856251900022,7,229.0
535.0,8,25.0,0.6410256410256411,4.4083160846649,8,225.0,0.15671028925820016,8,225.0
540.0,5,13.0,0.3333333333333333,4.909075845361642,5,168.0,0.1859768780175713,5,168.0
545.0,2,2.0,0.05,5.0545379840372995,2,142.0,0.22548519816296816,2,142.0
550.0,8,27.0,0.6585365853658537,4.590166686809205,8,173.0,0.21123043773917508,8,173.0
555.0,8,25.0,0.6756756756756757,3.98089119738013,8,171.0,0.23522555236253662,8,171.0
560.0,6,16.0,0.4,4.168494101164785,6,131.0,0.1768308929001447,6,131.0
565.0,4,25.0,0.5813953488372093,5.629946583238349,4,85.0,0.2101293451109603,4,85.0
570.0,2,3.0,0.07142857142857142,5.506182280466987,2,81.0,0.26710098695824086,2,81.0
575.0,7,29.0,0.7837837837837838,5.543572067883816,7,89.0,0.2748559721839499,7,89.0
580.0,7,25.0,0.6410256410256411,3.8983817317413005,7,95.0,0.17492959661813992,7,95.0
585.0,6,21.0,0.5384615384615384,4.455529827725839,6,72.0,0.168574538174257,6,72.0
590.0,5,6.0,0.15,3.868477537193139,5,83.0,0.12495545385772583,5,83.0
595.0,12,37.0,0.9736842105263158,3.183672857732313,12,116.0,0.09402920758241888,12,116.0
600.0,9,38.0,1.0857142857142856,3.062698877694596,9,140.0,0.11991516085981574,9,140.0
605.0,4,9.0,0.25,3.801863802271738,4,113.0,0.13919378747155495,4,113.0
610.0,3,5.0,0.1388888888888889,5.576384197484437,3,86.0,0.19311987734885908,3,86.0
615.0,1,2.0,0.058823529411764705,7.062658992468117,1,59.0,0.30897067213822343,1,59.0
620.0,0,0.0,0.0,9.706620133243058,0,32.0,0.6222275451363021,0,32.0
625.0,0,0.0,0.0,10.635837000379532,0,13.0,0.722570428631185,0,13.0
630.0,0,0.0,0.0,9.836057298548345,0,4.0,0.5606396246865217,0,4.0
635.0,3,12.0,0.4,10.162296569957473,3,12.0,0.6265823345499488,3,12.0
640.0,3,27.0,0.9642857142857143,9.769433511121791,3,27.0,0.6120136437694691,3,27.0
645.0,0,0.0,0.0,8.377663286248422,0,11.0,0.5005825092280132,0,11.0
650.0,5,14.0,0.6086956521739131,7.260258443237111,5,14.0,0.28811442786783664,5,14.0
655.0,5,12.0,0.5454545454545454,6.21795273104157,5,29.0,0.2919151957402252,5,29.0
660.0,0,0.0,0.0,9.222262545634601,0,20.0,0.5830788504787275,0,20.0
665.0,0,0.0,0.0,10.828669609732376,0,5.0,0.7314625827869518,0,5.0
670.0,0,0.0,0.0,11.423574383980096,0,0.0,0.8067828048912877,0,0.0
675.0,1,1.0,0.043478260869565216,9.356474856425667,1,1.0,0.5231235668292658,1,1.0
680.0,5,20.0,0.9090909090909091,9.344397527716007,5,20.0,0.5919059731147251,5,20.0
685.0,0,0.0,0.0,9.221967401895489,0,20.0,0.6472666314558281,0,20.0
690.0,3,6.0,0.2727272727272727,9.747209282827647,3,6.0,0.6070270425132146,3,6.0
695.0,4,26.0,1.04,10.338727478022502,4,26.0,0.5567919973117826,4,26.0
700.0,2,3.0,0.13636363636363635,7.799219116979469,2,22.0,0.4000070279610861,2,22.0
705.0,4,20.0,0.9090909090909091,9.061070227513063,4,20.0,0.49550871665504775,4,20.0
710.0,6,45.0,2.142857142857143,8.036540379150507,6,45.0,0.4330538468718265,6,45.0
715.0,8,82.0,4.555555555555555,4.989514535272466,8,82.0,0.21240965087894934,8,82.0
720.0,11,135.0,7.105263157894737,4.2909889797464675,11,135.0,0.24210033222387023,11,135.0
725.0,14,201.0,8.375,4.6257651334702174,14,201.0,0.322435059583324,14,201.0
730.0,16,276.0,10.615384615384615,3.7288413506822105,16,276.0,0.2484214034827783,16,276.0
735.0,14,178.0,6.357142857142857,3.167262806490899,14,291.0,0.19550310139396718,14,291.0
740.0,9,48.0,1.5,5.5519622957598145,9,230.0,0.2714733847332728,9,230.0
745.0,4,8.0,0.24242424242424243,5.485050555985803,4,228.0,0.2356209458479789,4,228.0
750.0,7,27.0,0.8709677419354839,4.97090038936836,7,254.0,0.22285192762038533,7,254.0
755.0,13,79.0,2.46875,3.20282997359827,13,306.0,0.12085794093064427,13,306.0
760.0,15,81.0,2.6129032258064515,1.6452846437768696,15,309.0,0.06379504927195918,15,309.0
765.0,10,44.0,1.3333333333333333,3.782902056237636,10,244.0,0.14999075297661668,10,244.0
770.0,7,34.0,0.9444444444444444,6.62154646766316,7,180.0,0.2749895246071415,7,180.0
775.0,2,6.0,0.17647058823529413,7.987878623234034,2,129.0,0.4013885419199578,2,129.0
780.0,1,2.0,0.06060606060606061,7.527735969419947,1,115.0,0.376374924812928,1,115.0
785.0,7,25.0,0.8333333333333334,5.816572986346908,7,138.0,0.2849179091428426,7,138.0
790.0,7,29.0,1.0357142857142858,4.014532230053091,7,147.0,0.21430027248547248,7,147.0
795.0,3,7.0,0.22580645161290322,6.221493011715849,3,112.0,0.30433024968853206,3,112.0
800.0,1,3.0,0.09375,7.692878356969228,1,50.0,0.3241196954114053,1,50.0
805.0,3,13.0,0.41935483870967744,9.59583395001816,3,26.0,0.5297244084920554,3,26.0
810.0,3,28.0,0.9333333333333333,10.869039946766804,3,29.0,0.707135794106045,3,29.0
815.0,4,45.0,1.7307692307692308,9.934036057614161,4,45.0,0.5597907516729317,4,45.0
820.0,5,67.0,2.9130434782608696,8.770701120288393,5,67.0,0.4402456367417779,5,67.0
825.0,7,95.0,4.523809523809524,8.141976745402735,7,95.0,0.4366667684678207,7,95.0
830.0,8,131.0,5.458333333333333,8.278317546672886,8,131.0,0.521920622045566,8,131.0
835.0,3,18.0,0.75,7.809721505832613,3,95.0,0.5117412205627052,3,95.0
840.0,5,16.0,0.64,8.272090536865015,5,33.0,0.4687200604223153,5,33.0
845.0,6,14.0,0.5,7.613482961624607,6,52.0,0.4071736392857007,6,52.0
850.0,4,22.0,0.88,7.188052688606168,4,50.0,0.35297595167236173,4,50.0
855.0,6,44.0,1.76,8.414526934787348,6,63.0,0.38738029725887124,6,63.0
860.0,2,2.0,0.08333333333333333,7.493131340458061,2,35.0,0.3750474980809448,2,35.0
865.0,5,20.0,0.9090909090909091,8.80264687756551,5,21.0,0.4920266157568603,5,21.0
870.0,1,3.0,0.13043478260869565,8.657864166262163,1,24.0,0.5550849515646187,1,24.0
875.0,1,8.0,0.32,9.936395698859494,1,8.0,0.6555926380296666,1,8.0
880.0,2,17.0,0.6296296296296297,10.910647744739153,2,17.0,0.7548974810330077,2,17.0
885.0,1,1.0,0.038461538461538464,9.596574591393223,1,5.0,0.6213105332544713,1,5.0
890.0,2,9.0,0.36,9.999956065883328,2,9.0,0.5967015182358006,2,9.0
895.0,1,3.0,0.11538461538461539,9.439106065104651,1,14.0,0.604470286283802,1,14.0
900.0,1,2.0,0.07407407407407407,9.844080531459463,1,6.0,0.653756354683702,1,6.0
905.0,2,4.0,0.14285714285714285,8.255550684696367,2,8.0,0.5216243159198245,2,8.0
910.0,7,28.0,0.9333333333333333,8.298562541510163,7,32.0,0.4361064883368278,7,32.0
915.0,7,21.0,0.75,5.873963115018687,7,46.0,0.28501038615141977,7,46.0
920.0,6,18.0,0.72,5.256167231735763,6,49.0,0.2072021831316581,6,49.0
925.0,3,5.0,0.2,6.361363880068974,3,45.0,0.27163901259835316,3,45.0
930.0,8,35.0,1.4583333333333333,6.086437437807295,8,65.0,0.21474892467827378,8,65.0
935.0,13,92.0,4.181818181818182,5.610333576529045,13,122.0,0.23029281372748023,13,122.0
940.0,8,69.0,3.2857142857142856,4.152972861223956,8,140.0,0.2465840252116592,8,140.0
945.0,2,12.0,0.5217391304347826,7.0382113837467175,2,100.0,0.3857378324124325,2,100.0
950.0,2,22.0,0.9565217391304348,9.532065377691271,2,33.0,0.45494443312780636,2,33.0
955.0,3,33.0,1.434782608695652,10.67328579422523,3,33.0,0.562235893874085,3,33.0
960.0,2,2.0,0.09523809523809523,10.100241888784566,2,6.0,0.6712884456462143,2,6.0
965.0,3,13.0,0.7222222222222222,10.23512580125844,3,13.0,0.6279033283471466,3,13.0
970.0,4,32.0,1.6,9.861804419466335,4,32.0,0.5797410639611476,4,32.0
975.0,1,2.0,0.1111111111111111,7.516197931444116,1,20.0,0.5110565607973834,1,20.0
980.0,0,0.0,0.0,9.598384265373854,0,3.0,0.6519186070198285,0,3.0
985.0,2,6.0,0.25,11.06223858211679,2,6.0,0.745077963250389,2,6.0
990.0,2,16.0,0.6666666666666666,11.00948859299102,2,16.0,0.7564307510803611,2,16.0
995.0,1,1.0,0.05,8.146566507965002,1,1.0,0.4675604850840479,1,1.0
1000.0,5,20.0,1.0526315789473684,7.8681190448313165,5,20.0,0.40642466808237687,5,20.0
