step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.894515230350057,0,0.0,0.9160645144922893,0,0.0
10.0,0,0.0,0.0,12.08367100289005,0,0.0,0.8681071254006575,0,0.0
15.0,3,3.0,0.16666666666666666,6.113019816259336,3,3.0,0.4072068697227291,3,3.0
20.0,7,37.0,2.0555555555555554,7.4569725241966704,7,37.0,0.3933313041885762,7,37.0
25.0,6,45.0,1.9565217391304348,6.860833908195956,6,53.0,0.40449250884347415,6,53.0
30.0,6,69.0,3.6315789473684212,7.523967266283183,6,71.0,0.39717301974040786,6,71.0
35.0,7,101.0,4.391304347826087,6.352998647842155,7,103.0,0.28214323683548337,7,103.0
40.0,13,155.0,5.961538461538462,5.899687096965355,13,157.0,0.3722885015675306,13,157.0
45.0,11,186.0,6.888888888888889,4.858513732213698,11,200.0,0.3644923551281973,11,200.0
50.0,11,220.0,7.586206896551724,5.59187370320243,11,226.0,0.31843562220740645,11,226.0
55.0,12,148.0,4.484848484848484,5.7764936488989935,12,210.0,0.28349002887343894,12,210.0
60.0,13,152.0,5.241379310344827,5.546336074757979,13,174.0,0.23543291728728827,13,174.0
65.0,15,185.0,5.606060606060606,4.793486991788812,15,220.0,0.21890484430490914,15,220.0
70.0,10,211.0,7.033333333333333,6.041741792033154,10,245.0,0.2847276593643599,10,245.0
75.0,9,174.0,4.461538461538462,6.4601618122911475,9,251.0,0.3991481461439019,9,251.0
80.0,16,240.0,6.857142857142857,6.19688381674855,16,274.0,0.37758357601214115,16,274.0
85.0,15,286.0,7.333333333333333,4.331361118205947,15,327.0,0.26796702746557505,15,327.0
90.0,15,317.0,8.805555555555555,4.589606109784917,15,365.0,0.23307599695257772,15,365.0
95.0,15,275.0,7.051282051282051,4.606308095425811,15,367.0,0.2125375239420103,15,367.0
100.0,15,277.0,7.486486486486487,4.74451882586403,15,329.0,0.2320831840054341,15,329.0
105.0,19,330.0,8.461538461538462,4.063676249448991,19,387.0,0.18697235200708978,19,387.0
110.0,14,355.0,8.255813953488373,5.9920703413115435,14,420.0,0.3142128536150834,14,420.0
115.0,12,381.0,9.292682926829269,5.511363327096431,12,447.0,0.30312607230132604,12,447.0
120.0,17,440.0,11.282051282051283,4.432729657926761,17,490.0,0.20573162114072743,17,490.0
125.0,22,508.0,12.390243902439025,3.025983135634888,22,559.0,0.12586449811972794,22,559.0
130.0,17,542.0,12.904761904761905,4.77788709464531,17,603.0,0.21357201352081095,17,603.0
135.0,14,583.0,13.880952380952381,4.566446411857478,14,656.0,0.20150603706761966,14,656.0
140.0,21,672.0,17.23076923076923,3.7992058768408064,21,745.0,0.18873086975152234,21,745.0
145.0,23,413.0,9.604651162790697,3.8474858408498607,23,603.0,0.19163910709896015,23,603.0
150.0,29,551.0,11.978260869565217,4.5170650365529825,29,626.0,0.25745925836137984,29,626.0
155.0,27,617.0,13.71111111111111,2.2712188808461913,27,706.0,0.0789292365327544,27,706.0
160.0,27,586.0,12.208333333333334,3.564741903234633,27,739.0,0.1510527795093983,27,739.0
165.0,20,538.0,11.446808510638299,3.0237025709065137,20,817.0,0.09634496090753707,20,817.0
170.0,24,635.0,12.7,3.3975683122488562,24,911.0,0.12780215464058076,24,911.0
175.0,24,723.0,15.382978723404255,2.8514552699284215,24,974.0,0.0911401658475372,24,974.0
180.0,21,759.0,15.8125,3.7988798621243713,21,972.0,0.15591953680774417,21,972.0
