step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.569959756485545,0,0.0,0.9348477229259168,0,0.0
10.0,0,0.0,0.0,12.927735124022997,0,0.0,0.8934905491821216,0,0.0
15.0,4,6.0,0.3333333333333333,7.15132995507201,4,6.0,0.4285432652695695,4,6.0
20.0,8,45.0,2.5,7.131021026678882,8,45.0,0.3713856885275482,8,45.0
25.0,10,89.0,4.045454545454546,4.6518828551815385,10,89.0,0.27929828426945963,10,89.0
30.0,10,113.0,5.65,4.23038245812497,10,125.0,0.3082156159966631,10,125.0
35.0,8,145.0,6.041666666666667,5.5789325561919405,8,145.0,0.30627165409217544,8,145.0
40.0,12,194.0,6.466666666666667,6.780991533796093,12,194.0,0.37457220448226014,12,194.0
45.0,16,264.0,8.8,4.619048311629641,16,264.0,0.3087090218790701,16,264.0
50.0,17,316.0,10.533333333333333,2.786384216900076,17,332.0,0.20825282388174093,17,332.0
55.0,16,374.0,11.0,4.679888947179903,16,384.0,0.24655749138681285,16,384.0
60.0,14,296.0,8.705882352941176,4.085561645181731,14,374.0,0.1440110457862964,14,374.0
65.0,14,295.0,8.194444444444445,4.992839464908355,14,332.0,0.24677073353029422,14,332.0
70.0,14,333.0,9.794117647058824,4.52198478139378,14,378.0,0.1853574483886059,14,378.0
75.0,14,361.0,8.204545454545455,6.431711415409555,14,406.0,0.361854977932293,14,406.0
80.0,12,170.0,4.25,6.171934604136881,12,342.0,0.37037381385285084,12,342.0
85.0,17,114.0,2.590909090909091,4.944082775683127,17,219.0,0.2445559008908594,17,219.0
90.0,22,210.0,5.25,4.039579919034524,22,315.0,0.17542779671929862,22,315.0
95.0,27,337.0,8.425,2.8112132271837247,27,442.0,0.12221450491191721,27,442.0
100.0,28,409.0,10.225,2.1859314474452907,28,543.0,0.1145546293004604,28,543.0
105.0,20,367.0,8.534883720930232,3.7577043887897132,20,574.0,0.18429299308838992,20,574.0
110.0,14,276.0,5.75,4.65792040723453,14,559.0,0.25100211265873834,14,559.0
115.0,14,170.0,3.6956521739130435,5.03380386141453,14,474.0,0.28788352578423526,14,474.0
120.0,21,231.0,5.021739130434782,3.153991416434317,21,513.0,0.1314108283411671,21,513.0
125.0,23,273.0,5.571428571428571,3.8920855882430776,23,528.0,0.1461899338075567,23,528.0
130.0,18,308.0,6.695652173913044,3.5202139035153786,18,557.0,0.13497828884423327,18,557.0
135.0,18,364.0,7.74468085106383,4.55769008201444,18,564.0,0.19889598592159582,18,564.0
140.0,20,420.0,9.130434782608695,3.091305539831437,20,607.0,0.1117840041798683,20,607.0
145.0,21,465.0,9.6875,3.8334600829387306,21,632.0,0.148516103695248,21,632.0
150.0,16,286.0,5.5,5.016694591351387,16,551.0,0.29404449705081526,16,551.0
155.0,14,118.0,2.36,4.0682272441349,14,387.0,0.16214060250475346,14,387.0
160.0,21,177.0,3.4038461538461537,3.4382692527397203,21,434.0,0.14621359867449016,21,434.0
165.0,28,224.0,4.666666666666667,2.6750269619852425,28,477.0,0.061989466697714615,28,477.0
170.0,22,271.0,5.211538461538462,3.241778411221413,22,519.0,0.13053316744468313,22,519.0
175.0,20,309.0,6.3061224489795915,3.4130599274465983,20,514.0,0.11902306501914588,20,514.0
180.0,26,393.0,7.86,2.4218642908832964,26,581.0,0.06511275520756314,26,581.0
185.0,24,449.0,8.314814814814815,4.135888690200322,24,621.0,0.17168310090600628,24,621.0
190.0,18,323.0,5.981481481481482,3.7376605669197365,18,615.0,0.17962281298978872,18,615.0
195.0,17,145.0,2.7884615384615383,3.177485792783715,17,515.0,0.12724565665757337,17,515.0
200.0,22,209.0,3.8703703703703702,3.0165933107526146,22,563.0,0.12796400225063298,22,563.0
205.0,24,235.0,4.351851851851852,3.2720353248709064,24,573.0,0.1038175234602423,24,573.0
210.0,22,285.0,5.277777777777778,3.24286422846592,22,604.0,0.12251942630419954,22,604.0
215.0,20,309.0,6.3061224489795915,2.783909721532512,20,597.0,0.09901940018426394,20,597.0
220.0,22,369.0,6.15,4.0407125882584705,22,641.0,0.21352444168801685,22,641.0
225.0,20,399.0,7.0,3.908881119842638,20,643.0,0.17883846261017347,20,643.0
230.0,22,298.0,4.966666666666667,2.7579225869970037,22,637.0,0.11337196997791484,22,637.0
235.0,20,299.0,5.245614035087719,3.14548703540245,20,597.0,0.11699589851645775,20,597.0
240.0,26,381.0,6.803571428571429,2.274748663259848,26,651.0,0.06283788301884274,26,651.0
245.0,24,445.0,7.807017543859649,3.010466937720706,24,683.0,0.10563679122308257,24,683.0
250.0,22,407.0,7.267857142857143,2.42660433196258,22,721.0,0.0726638013219491,22,721.0
255.0,20,353.0,5.786885245901639,3.902426744326357,20,694.0,0.1814695889513165,20,694.0
260.0,22,405.0,6.982758620689655,3.5904507091225137,22,738.0,0.16846032895461494,22,738.0
265.0,21,450.0,7.5,3.0216373779618095,21,751.0,0.10612041198634921,21,751.0
270.0,24,491.0,8.46551724137931,2.7051618151620884,24,808.0,0.10371331083565033,24,808.0
275.0,22,539.0,9.293103448275861,3.1662154621198098,22,853.0,0.09453831809182428,22,853.0
280.0,24,621.0,11.089285714285714,2.7283980699655115,24,915.0,0.10097155290326887,24,915.0
285.0,26,677.0,12.537037037037036,3.0623142054249337,26,939.0,0.11755623533262571,26,939.0
