episode,step,waiting_time,co2_emission,throughput,reward,episode_reward,exploration_rate,learning_rate,q_table_size,loss
0,0,0.0,33.48032103612552,0,1.1330393579277491,1.1330393579277491,0.5,0.0001,1,0.0
0,10,139.0,29.39785757266994,0,-0.015015715145339725,8.142783415392476,0.5,0.0001,9,0.0
0,20,545.0,64.21240577089611,0,0.06547518845820788,10.161467339193928,0.5,0.0001,19,0.0
0,30,607.0,94.37402497134467,2,0.9023919500573112,6.570848645249663,0.5,0.0001,29,0.0
0,40,848.0,110.84166157208564,1,0.44127667685582916,-0.0008946850104356585,0.5,9.990004498800214e-05,39,1.1389837742640827
0,50,1477.0,153.12455657427512,0,-3.0537091131485496,-5.060275910335431,0.5,9.980018988604848e-05,49,1.9475512656004472
0,60,2668.0,128.71597033105354,0,-1.732071940662106,-33.85472817125343,0.5,9.970043459427396e-05,59,4.019355717271419
0,70,4140.0,136.48552620683893,0,-6.230171052413677,-76.71510915437818,0.5,9.960077901291331e-05,65,8.277413472410728
0,80,4055.0,109.43270287256658,0,-3.3947654057451335,-123.7099761806153,0.5,9.950122304230097e-05,73,10.277529323970592
0,90,4784.0,144.95446516509435,2,-4.8742289303301884,-175.51749988348317,0.5,9.9401766582871e-05,81,13.029461904254003
0,100,5882.0,187.63781179162208,0,-6.775275623583244,-225.7866494007615,0.5,9.930240953515699e-05,91,15.106246182664073
0,110,4809.0,172.47269418479587,0,-4.81576538836959,-278.06225794566893,0.5,9.920315179979194e-05,101,12.802890807888328
0,120,6714.0,194.090455144878,4,-6.388180910289756,-339.402347785246,0.5,9.910399327750818e-05,111,15.07853269172891
0,130,8713.0,202.354331362581,0,-6.804708662725162,-401.37208196665,0.5,9.900493386913726e-05,118,15.181830857107778
0,140,9018.0,202.779459569649,0,-5.605558919139298,-458.7283664685709,0.5,9.890597347560989e-05,126,14.733672069722928
0,150,9592.0,179.29137794514745,0,-5.558582755890295,-515.7039880745796,0.5,9.88071119979557e-05,133,14.31918261200769
0,160,9488.0,183.27654399991818,0,-5.166553087999836,-568.7212230949134,0.5,9.870834933730339e-05,141,13.430969949197124
0,170,7369.0,184.73467290045454,0,-4.969469345800909,-616.9363656578951,0.5,9.860968539488038e-05,151,11.377634047263948
0,180,5697.0,200.38401036187904,0,-5.800768020723758,-669.6956519343521,0.5,9.851112007201287e-05,160,9.896201406743879
0,190,5973.0,184.1370987934754,0,-5.06827419758695,-720.282977140659,0.5,9.841265327012565e-05,170,9.797635178338258
0,200,4498.0,180.06977325085552,0,-4.8261795465017086,-770.3936296740487,0.5,9.831428489074205e-05,179,9.089393187285106
0,210,5165.0,172.07493917136986,2,-4.94414987834274,-818.0690883206111,0.5,9.821601483548387e-05,186,7.668300100000188
0,220,3856.0,166.24669835420744,2,-2.481373396708414,-851.334831360922,0.5,9.811784300607121e-05,196,6.424093697199123
0,230,4949.0,186.67737081694816,0,-4.723374741633895,-890.4985908046166,0.5,9.80197693043224e-05,203,5.80464439775601
0,240,4321.0,163.23002928169794,0,-4.719040058563394,-927.9884513852387,0.5,9.792179363215397e-05,211,4.98605180335808
1,200,0.0,26.031927949132402,0,1.1479361441017353,1.1479361441017353,0.4975,9.782391589158042e-05,249,4.1873896723181225
1,210,172.0,46.258424881740446,0,0.0929231502365192,7.214337354406296,0.4975,9.772613598471419e-05,254,2.5293672053876666
1,220,637.0,83.34937497919704,0,-1.166958749958394,6.180131396371821,0.4975,9.76284538137656e-05,264,1.9463698701855336
1,230,1182.0,115.22063606328048,2,-2.4528012721265604,2.9017455425051324,0.4975,9.753086928104268e-05,273,1.3804630867623207
1,240,2774.0,157.01279449503016,0,-4.932545588990059,-25.316426059765057,0.4975,9.743338228895119e-05,282,1.9846455213557914
1,250,2543.0,167.38622683812957,0,-3.2429124536762592,-52.4925036256605,0.4975,9.733599273999432e-05,292,1.314677762333144
1,260,2289.0,139.84426273126107,0,-1.4089085254625218,-72.25704434118087,0.4975,9.723870053677282e-05,300,1.3075775615756218
1,270,1923.0,143.9622726263114,0,-1.4844645452526226,-86.000983050969,0.4975,9.71415055819847e-05,310,1.1097884401415972
1,280,2367.0,158.1182639956855,2,-3.8358965279913706,-102.16072358651265,0.4975,9.704440777842529e-05,320,0.8489412977642257
1,290,4193.0,144.88701450831795,2,-4.630914029016635,-151.56013354582504,0.4975,9.694740702898709e-05,330,3.076060797386035
1,300,6262.0,166.16463661760147,0,-4.980329273235203,-215.97593355254767,0.4975,9.685050323665964e-05,339,5.833209605195503
1,310,7856.0,152.61647078997837,0,-4.911232941579955,-280.41544682722065,0.4975,9.675369630452942e-05,343,5.730144326985724
1,320,6313.0,148.45210263836705,2,-4.408904205276734,-330.2995897054211,0.4975,9.665698613577982e-05,352,2.7043288622974146
1,330,5241.0,164.17660789720568,0,-3.656353215794411,-378.17080867521116,0.4975,9.656037263369099e-05,362,2.413517598994195
1,340,4301.0,139.94171127758528,2,-2.5708634225551696,-425.16828598232036,0.4975,9.646385570163978e-05,369,1.9309569775851205
1,350,3916.0,164.683281472592,0,-3.8150465629451826,-462.23050495906006,0.4975,9.636743524309958e-05,375,1.4131546885551467
1,360,3290.0,167.236268970339,0,-3.2906725379406785,-491.0702193204059,0.4975,9.627111116164029e-05,382,1.1158186843449043
1,370,2570.0,165.06180193645307,0,-3.2227236038729052,-514.8881730482963,0.4975,9.617488336092817e-05,392,1.249898671485845
1,380,4162.0,156.53801351468064,0,-5.89183602702936,-557.6134263483531,0.4975,9.607875174472579e-05,395,2.39223459401781
1,390,5696.0,140.43291212082494,2,-5.8128658242416495,-619.524701563424,0.4975,9.598271621689192e-05,402,4.832174270774827
1,400,3546.0,114.0034784032681,0,-1.911086956806535,-659.5314208346323,0.4975,9.588677668138144e-05,412,2.1770926523366545
1,410,3524.0,172.50513555047377,2,-3.230530271100947,-688.4187980429989,0.4975,9.579093304224517e-05,422,2.343789872840182
1,420,4195.0,175.01773247653003,0,-4.96113546495306,-735.2674924677112,0.4975,9.569518520362991e-05,430,2.7609002730507926
1,430,5723.0,143.27361979994987,0,-5.518547239599899,-796.0357393537213,0.4975,9.559953306977822e-05,432,4.573521997763934
1,440,7393.0,152.437531007291,2,-6.036875062014582,-858.5037042913644,0.4975,9.550397654502838e-05,437,4.598870141104836
2,400,0.0,50.20140076470902,0,1.0995971984705821,1.0995971984705821,0.4950125,9.540851553381432e-05,438,21.505786347351403
2,410,124.0,54.22057471170124,0,0.09803885057659767,8.473271665061409,0.4950125,9.531314994066547e-05,439,6.5019398307825975
2,420,786.0,90.22844393587432,0,-1.410736887871748,6.28544597817038,0.4950125,9.521787967020669e-05,449,5.8764353521268236
2,430,1932.0,143.7569125438868,4,-2.2608738250877742,-8.84846513823286,0.4950125,9.512270462715819e-05,456,16.18065529612051
2,440,3903.0,138.42801067255382,0,-6.001796021345107,-54.40147689989509,0.4950125,9.502762471633541e-05,461,3.2291082099130195
2,450,5509.0,114.49979831729291,0,-6.208999596634584,-114.4350096028169,0.4950125,9.493263984264888e-05,466,19.51311592891866
2,460,5761.0,118.475275959745,2,-6.54295055191949,-165.264623562063,0.4950125,9.483774991110424e-05,473,79.84083650472891
2,470,4291.0,111.6942051536757,0,-3.8045684103073514,-201.26607414351983,0.4950125,9.474295482680208e-05,483,98.12713529508356
2,480,5815.0,119.02621864310943,2,-6.034052437286219,-259.44011137690484,0.4950125,9.464825449493778e-05,490,99899894346.51324
2,490,3980.0,117.92826986727825,4,-4.506256539734555,-306.6199826438775,0.4950125,9.455364882080158e-05,497,80702553495.71405
2,500,1297.0,101.29132997512683,0,0.5963573400497468,-321.06795447907666,0.4950125,9.445913770977831e-05,507,16578745794.552301
2,510,920.0,94.3532311774408,0,0.6376935376451187,-325.84910962881,0.4950125,9.43647210673474e-05,514,1881565.7036472498
2,520,2457.0,119.3313085712698,0,-4.294522617142539,-350.19168702466305,0.4950125,9.427039879908275e-05,516,4742509716086.977
2,530,3271.0,108.26495407670296,0,-2.0301099081534053,-383.8259015206959,0.4950125,9.417617081065266e-05,524,16058769769.064198
