step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.877032858023354,0,0.0,0.9443221609165255,0,0.0
10.0,0,0.0,0.0,11.444742015054722,0,0.0,0.8431172698885349,0,0.0
15.0,5,10.0,0.5555555555555556,7.51018712803647,5,10.0,0.4136341712781448,5,10.0
20.0,8,46.0,2.5555555555555554,7.384816212277515,8,46.0,0.4041205418703373,8,46.0
25.0,8,86.0,4.3,6.749691456555816,8,86.0,0.39535472985932274,8,86.0
30.0,7,93.0,4.65,6.65251245052414,7,99.0,0.3954232645170206,7,99.0
35.0,9,130.0,6.190476190476191,6.372065906458454,9,130.0,0.3656790386019883,9,130.0
40.0,11,180.0,6.666666666666667,6.896989931394989,11,180.0,0.4009055091447761,11,180.0
45.0,13,238.0,8.206896551724139,5.831122513698011,13,238.0,0.36361689487674764,13,238.0
50.0,15,312.0,11.555555555555555,3.9018162033284205,15,312.0,0.2417702587212647,15,312.0
55.0,21,407.0,13.129032258064516,3.3323155670877553,21,407.0,0.19692592719828866,21,407.0
60.0,19,412.0,13.733333333333333,2.2031351418603213,19,460.0,0.13039421193104758,19,460.0
65.0,14,371.0,10.6,4.6208463086016245,14,455.0,0.23381955399010432,14,455.0
70.0,12,426.0,12.17142857142857,6.135344268604882,12,460.0,0.2499295708391547,12,460.0
75.0,13,489.0,11.372093023255815,8.42105370855293,13,491.0,0.4600300395404774,13,491.0
80.0,12,511.0,12.775,7.009412103125916,12,524.0,0.3819154212082076,12,524.0
85.0,17,583.0,15.342105263157896,4.2788457598717695,17,585.0,0.20151075141706554,17,585.0
90.0,25,699.0,18.89189189189189,4.135555049294184,25,701.0,0.1815844248546312,25,701.0
95.0,27,827.0,21.763157894736842,3.1332478346772787,27,829.0,0.14282650842936437,27,829.0
100.0,29,970.0,26.216216216216218,2.7003765887223663,29,972.0,0.14374569669959142,29,972.0
105.0,32,1119.0,27.29268292682927,2.612913283703335,32,1121.0,0.14714933998996693,32,1121.0
110.0,29,1164.0,25.866666666666667,2.880933625984236,29,1219.0,0.18649582911046578,29,1219.0
115.0,24,1087.0,23.127659574468087,4.335718195876392,24,1242.0,0.2258898127403514,24,1242.0
120.0,19,1132.0,23.583333333333332,4.949506901447624,19,1249.0,0.1958361737967435,19,1249.0
125.0,23,1243.0,25.895833333333332,6.0919152321668255,23,1273.0,0.26154992115961717,23,1273.0
130.0,23,1358.0,30.177777777777777,5.92238626440096,23,1358.0,0.23497679475130032,23,1358.0
135.0,25,1477.0,32.82222222222222,5.597349399769983,25,1477.0,0.22892113388421753,25,1477.0
140.0,23,1534.0,38.35,4.014536082465073,23,1555.0,0.17537584934281616,23,1555.0
145.0,23,1639.0,39.023809523809526,5.0314640502520875,23,1639.0,0.26354560086584017,23,1639.0
150.0,25,1757.0,38.19565217391305,5.382244368785295,25,1757.0,0.2808060354583831,25,1757.0
155.0,29,1893.0,44.02325581395349,2.6998334676384563,29,1893.0,0.12175645807343219,29,1893.0
160.0,36,2057.0,45.71111111111111,2.3909581942944977,36,2057.0,0.13262856407018006,36,2057.0
165.0,33,2150.0,47.77777777777778,1.5847415974026988,33,2189.0,0.06894234175638568,33,2189.0
170.0,27,2211.0,45.12244897959184,3.062793469508536,27,2269.0,0.148700322888294,27,2269.0
175.0,28,2346.0,47.87755102040816,4.264840692584759,28,2366.0,0.14671479831959353,28,2366.0
180.0,28,2486.0,49.72,5.116631531900856,28,2486.0,0.17186026721435008,28,2486.0
185.0,30,2632.0,52.64,5.073474510045654,30,2632.0,0.22331562622466086,30,2632.0
190.0,32,2784.0,56.816326530612244,3.427938663567564,32,2784.0,0.14597562999326447,32,2784.0
195.0,36,2959.0,64.32608695652173,2.547871909679785,36,2959.0,0.1262555587353321,36,2959.0
200.0,36,3139.0,64.06122448979592,3.0162413818377956,36,3139.0,0.15087759924434407,36,3139.0
205.0,37,3321.0,67.77551020408163,2.8376466024408766,37,3321.0,0.12413644593084511,37,3321.0
210.0,38,3510.0,70.2,2.9346783773150604,38,3510.0,0.14666760674767573,38,3510.0
215.0,38,3700.0,75.51020408163265,2.348780961229693,38,3700.0,0.08414941410825758,38,3700.0
220.0,40,3900.0,65.0,4.059776057565519,40,3900.0,0.18417349527765936,40,3900.0
225.0,38,3264.0,58.285714285714285,2.7539245609014777,38,3678.0,0.13056609438480934,38,3678.0
230.0,33,1953.0,32.55,3.506205321300478,33,3093.0,0.1635862027707097,33,3093.0
235.0,28,1400.0,24.137931034482758,4.471689295296278,28,2609.0,0.20961647352060067,28,2609.0
240.0,27,1484.0,25.152542372881356,5.182720578895867,27,2015.0,0.21986026086464774,27,2015.0
245.0,30,1627.0,29.053571428571427,5.712203835195774,30,1762.0,0.23708997475708268,30,1762.0
250.0,32,1713.0,31.145454545454545,3.1287498251980392,32,1880.0,0.08906598483133814,32,1880.0
255.0,30,1815.0,33.611111111111114,4.143701087455282,30,1980.0,0.2130311768741335,30,1980.0
260.0,30,1965.0,35.089285714285715,4.911503909901662,30,2107.0,0.233996414209929,30,2107.0
265.0,32,2123.0,39.31481481481482,4.346838274857775,32,2258.0,0.13524023818299083,32,2258.0
270.0,36,2301.0,43.41509433962264,3.7855935566160857,36,2436.0,0.17761636083879997,36,2436.0
275.0,34,2384.0,49.666666666666664,2.2624414357180407,34,2477.0,0.09206962054846336,34,2477.0
280.0,30,2451.0,47.13461538461539,4.0634118465599105,30,2495.0,0.20558016703940576,30,2495.0
285.0,33,2608.0,52.16,3.6671408771383613,33,2608.0,0.09119490207283837,33,2608.0
290.0,36,2787.0,50.67272727272727,3.7903378835804724,36,2787.0,0.2158782731827864,36,2787.0
295.0,40,2979.0,56.20754716981132,2.605475369112569,40,2979.0,0.18119967790105773,40,2979.0
300.0,43,3186.0,59.0,1.7456072805635534,43,3186.0,0.10082422110722628,43,3186.0
305.0,44,3317.0,57.189655172413794,1.9012374716932634,44,3360.0,0.08711264434923627,44,3360.0
310.0,38,3389.0,57.440677966101696,2.328355375971462,38,3477.0,0.07245601627277339,38,3477.0
315.0,37,3573.0,58.57377049180328,3.9959088224783836,37,3604.0,0.17805616728109128,37,3604.0
320.0,35,3189.0,52.278688524590166,3.2392229672147144,35,3486.0,0.1244623267353561,35,3486.0
325.0,32,2289.0,37.52459016393443,3.7803389869459605,32,3124.0,0.1782454593510806,32,3124.0
330.0,27,1935.0,32.25,3.906448529607181,27,2731.0,0.1603568334490128,27,2731.0
335.0,26,1957.0,31.56451612903226,5.535037075549689,26,2447.0,0.26710531164295814,26,2447.0
340.0,29,2092.0,35.45762711864407,4.713190209621195,29,2301.0,0.1727759729945478,29,2301.0
345.0,34,2259.0,38.94827586206897,4.4856755734093685,34,2312.0,0.1774925722292626,34,2312.0
350.0,36,2433.0,44.236363636363635,3.354515730155975,36,2456.0,0.05064736842281361,36,2456.0
355.0,38,2620.0,47.63636363636363,3.2962768655559525,38,2643.0,0.10520662469338334,38,2643.0
360.0,37,2656.0,53.12,1.796468437307384,37,2740.0,0.022900080968206938,37,2740.0
365.0,30,2470.0,43.333333333333336,4.023848470373428,30,2750.0,0.2395430810204742,30,2750.0
370.0,23,2381.0,42.517857142857146,4.3309040782757,23,2733.0,0.197959733868682,23,2733.0
375.0,21,2435.0,41.271186440677965,4.812369998486052,21,2650.0,0.20968997737306228,21,2650.0
380.0,25,2559.0,47.388888888888886,5.701585333216572,25,2645.0,0.2542080815147444,25,2645.0
385.0,22,2617.0,48.46296296296296,4.634085264939353,22,2721.0,0.2497450429772231,22,2721.0
390.0,27,2741.0,55.93877551020408,3.1538458089934087,27,2827.0,0.11080523044786383,27,2827.0
395.0,32,2890.0,57.8,2.8638356909761136,32,2976.0,0.10347407132922877,32,2976.0
400.0,38,3073.0,56.907407407407405,3.0618723979590743,38,3159.0,0.14021395566779318,38,3159.0
405.0,42,3274.0,59.527272727272724,2.6312292895514218,42,3360.0,0.15165485554913263,42,3360.0
410.0,43,3398.0,61.78181818181818,1.0136996601109085,43,3498.0,0.049609178233746845,43,3498.0
415.0,38,3407.0,58.741379310344826,2.721990085978645,38,3573.0,0.13526540169520332,38,3573.0
420.0,32,3450.0,59.48275862068966,3.164229608091479,32,3652.0,0.097790886929156,32,3652.0
425.0,28,2066.0,33.868852459016395,3.8430436954125935,28,2968.0,0.18385132001696608,28,2968.0
430.0,25,897.0,16.017857142857142,3.632177682568366,25,1882.0,0.15763816027296262,25,1882.0
435.0,31,1041.0,16.015384615384615,4.890138628773002,31,1377.0,0.2457140105778997,31,1377.0
440.0,38,1219.0,19.983606557377048,3.1813770777353048,38,1443.0,0.12407935225446422,38,1443.0
445.0,49,1440.0,22.857142857142858,2.3817374197264485,49,1664.0,0.09612804086259591,49,1664.0
450.0,47,1557.0,26.389830508474578,1.098535655730546,47,1839.0,0.039118370747786936,47,1839.0
455.0,47,1739.0,28.508196721311474,2.1298857788382546,47,1979.0,0.08446915845708688,47,1979.0
460.0,49,1979.0,31.41269841269841,2.4576300684417394,49,2203.0,0.03705695925229478,49,2203.0
465.0,47,2068.0,33.354838709677416,2.180420627722837,47,2334.0,0.05555432564288954,47,2334.0
470.0,42,1922.0,29.56923076923077,2.839919715340938,42,2322.0,0.13585171237092275,42,2322.0
475.0,34,1810.0,28.73015873015873,3.8739368323778574,34,2252.0,0.1519784351679324,34,2252.0
480.0,28,1716.0,29.084745762711865,4.065608405279746,28,2196.0,0.1349015701478816,28,2196.0
485.0,21,1133.0,20.232142857142858,4.203929353130556,21,1966.0,0.20807102594408317,21,1966.0
490.0,18,344.0,6.37037037037037,4.0928122579849555,18,1515.0,0.19321424690920308,18,1515.0
495.0,19,152.0,2.7142857142857144,4.54052383722611,19,1183.0,0.20379071070039254,19,1183.0
500.0,24,261.0,4.5,5.117002061438954,24,909.0,0.20966674603096033,24,909.0
505.0,32,405.0,6.864406779661017,4.28221315758625,32,966.0,0.16371493301714157,32,966.0
510.0,37,495.0,8.25,3.401730141570001,37,1014.0,0.155245812711345,37,1014.0
515.0,31,459.0,8.345454545454546,2.949699263641409,31,962.0,0.1318145939146053,31,962.0
520.0,27,428.0,7.642857142857143,3.861814297141819,27,901.0,0.13607685596292135,27,901.0
525.0,23,445.0,8.39622641509434,4.627579180675977,23,770.0,0.1555628015552513,23,770.0
530.0,18,443.0,8.86,6.202069037304204,18,702.0,0.28486573970922746,18,702.0
535.0,18,533.0,11.58695652173913,6.595456474956765,18,713.0,0.3322827432099413,18,713.0
540.0,20,625.0,13.88888888888889,5.834482274268162,20,724.0,0.2664749118650074,20,724.0
545.0,20,725.0,14.795918367346939,6.662871073607601,20,752.0,0.3613244527786521,20,752.0
550.0,20,825.0,16.5,6.443986780531526,20,825.0,0.3131951346013948,20,825.0
555.0,20,797.0,16.26530612244898,5.27297354135234,20,861.0,0.23125757123380042,20,861.0
560.0,23,899.0,19.543478260869566,4.542439006109446,23,899.0,0.1838837709288073,23,899.0
565.0,29,1037.0,23.568181818181817,3.690224835230302,29,1037.0,0.12712476000923284,29,1037.0
570.0,29,1140.0,25.90909090909091,3.0062483889533795,29,1162.0,0.1339180087173253,29,1162.0
575.0,22,1188.0,29.7,2.4553652797155174,22,1244.0,0.06483649480169967,22,1244.0
580.0,22,1298.0,24.96153846153846,6.722102917037235,22,1317.0,0.35693927888253174,22,1317.0
585.0,23,1409.0,29.97872340425532,6.4710280503240565,23,1409.0,0.3075791193962333,23,1409.0
590.0,26,1532.0,30.64,5.108348548468065,26,1532.0,0.17031619943893217,26,1532.0
595.0,26,1661.0,38.627906976744185,3.5565717740078053,26,1667.0,0.11390726638124103,26,1667.0
600.0,28,1798.0,42.80952380952381,3.604711627355662,28,1798.0,0.15359353065432135,28,1798.0
605.0,31,1947.0,46.357142857142854,2.830608761789754,31,1947.0,0.11524070274036974,31,1947.0
610.0,35,2113.0,49.13953488372093,1.3928211526953762,35,2113.0,0.08363101946427393,35,2113.0
615.0,38,2301.0,47.9375,2.3807352109141657,38,2301.0,0.17107270010680906,38,2301.0
620.0,38,1916.0,36.84615384615385,2.1498261618731402,38,2193.0,0.1459743942067621,38,2193.0
625.0,30,1017.0,18.833333333333332,3.411229858254925,30,1827.0,0.17955063210798847,30,1827.0
630.0,26,646.0,11.137931034482758,3.8900608945373465,26,1517.0,0.15395471535459246,26,1517.0
635.0,24,663.0,11.839285714285714,4.894391110131429,24,1137.0,0.19132042345065775,24,1137.0
640.0,27,791.0,13.637931034482758,5.743158172938137,27,981.0,0.26269908698722694,27,981.0
645.0,26,866.0,16.653846153846153,3.789468811848181,26,1041.0,0.12091170011672343,26,1041.0
650.0,36,1030.0,18.392857142857142,4.0689078843499225,36,1175.0,0.19700219645817518,36,1175.0
655.0,38,1219.0,22.574074074074073,3.1787958710771393,38,1364.0,0.1685923982679207,38,1364.0
660.0,44,1420.0,27.307692307692307,1.6092499478249385,44,1565.0,0.0781134378993066,44,1565.0
665.0,47,1650.0,29.464285714285715,1.4911614233731656,47,1795.0,0.040196803101589226,47,1795.0
670.0,48,1796.0,31.50877192982456,1.2435030642335583,48,1923.0,0.032035004773141584,48,1923.0
675.0,39,1833.0,31.603448275862068,1.950370959509544,39,1965.0,0.06686779624482385,39,1965.0
680.0,42,2039.0,33.983333333333334,3.052851400849205,42,2077.0,0.07310951216322906,42,2077.0
685.0,41,1929.0,31.62295081967213,2.8979963704345097,41,2114.0,0.08607570971531905,41,2114.0
690.0,35,1426.0,24.586206896551722,3.43060898886201,35,1992.0,0.14759144972393407,35,1992.0
695.0,27,1145.0,20.818181818181817,4.152297475446236,27,1855.0,0.15991166611861424,27,1855.0
