episode,step,waiting_time,co2_emission,throughput,reward,episode_reward,exploration_rate,q_table_size
0,0,0.0,37.877425469567214,0,1.1242451490608658,1.1242451490608658,0.5,0
0,10,681.0,97.39940970383398,0,-1.5221788194076677,0.49456304970269827,0.5,8
0,20,1748.0,116.34786930847328,0,-0.8377357386169453,-16.862662061508612,0.5,13
0,30,2354.0,123.40995847955948,0,-1.0457399169591186,-38.53568250157608,0.5,16
0,40,3227.0,133.34501830968722,0,-2.9411500366193737,-72.44929692447057,0.5,32
0,50,2758.0,146.59506813569203,0,-1.9920301362713837,-92.06515636115746,0.5,40
0,60,2250.0,169.57451758500758,0,-3.844149035170015,-110.21561706236083,0.5,50
0,70,1912.0,131.15715455132639,2,-0.04407430910265209,-129.0958198944977,0.5,58
0,80,3124.0,155.71911363095148,4,-3.536958227261901,-163.13036998650867,0.5,65
0,90,2586.0,129.5815545489048,0,-1.9794431090978089,-193.23779410243688,0.5,72
0,100,3358.0,155.33780677862703,0,-1.9455156135572524,-228.70590412998314,0.5,77
0,110,3491.0,158.42101673335702,2,-3.2340220334667134,-275.0547919697428,0.5,81
0,120,4004.0,148.7921904554679,2,-5.053504380910937,-313.1320467173002,0.5,84
0,130,3302.0,126.20274118711131,0,-1.838365482374222,-347.51692557721515,0.5,88
0,140,2555.0,123.3844590858865,2,-2.1626689181717733,-365.3810701722262,0.5,95
