episode,step,waiting_time,co2_emission,reward,episode_reward
0,0,0.0,34.09446222415669,0.09318110755516867,0.09318110755516867
0,10,265.0,51.4561471906205,-2.990291229438124,-13.830090947924653
0,20,744.0,63.09061751864788,-7.3846181235037305,-68.22551158621941
0,30,670.0,65.54269033749252,-6.3131085380675,-132.75497859873698
0,40,687.0,76.26707440632003,-6.771253414881265,-198.1412261705134
0,50,808.0,102.8861390271742,-7.7445772278054354,-286.16295136255576
0,60,651.0,98.66909635688442,-7.367733819271377,-360.60059184349655
0,70,918.0,122.61912008093299,-9.748523824016189,-452.5847917506105
0,80,1288.0,106.56652972284796,-11.585313305944572,-576.0415731816473
0,90,2099.0,91.74465551582848,-19.21034893110317,-741.033322224924
0,100,1987.0,103.12430313299492,-18.136624860626597,-912.1964622062893
0,110,3378.0,138.28515273694137,-29.991657030547387,-1170.1868999583467
0,120,5500.0,165.48587990903863,-48.09309717598181,-1562.2244893122834
0,130,3888.0,169.9750538178923,-33.997995010763574,-1909.806113651114
0,140,2835.0,167.12487844169465,-25.41342497568834,-2218.0893410623753
0,150,4129.0,189.23920745455422,-38.00984784149091,-2510.582562377498
0,160,4755.0,184.8331423579552,-41.33696662847159,-2964.8196371648314
0,170,6054.0,204.24804684125698,-52.69284960936825,-3452.9576315841546
0,180,4563.0,185.74292457294536,-41.081148584914594,-3909.1993325894214
0,190,4676.0,223.82672014356945,-42.71276534402871,-4317.79739350798
1,200,0.0,43.799096423728216,0.09124018071525436,0.09124018071525436
1,210,123.0,38.9524804416429,-1.5317904960883288,-13.630944776840908
1,220,690.0,94.06210226238883,-7.358812420452479,-61.45831685468463
1,230,1109.0,110.06057954055512,-10.874012115908112,-147.66258886552453
1,240,1880.0,143.85717897099985,-18.4087714357942,-303.66504690642836
1,250,1224.0,121.84440965265325,-11.716368881930533,-457.31192686495405
1,260,1929.0,146.74989794613722,-19.041349979589228,-591.6414769335618
1,270,2596.0,179.1738475121936,-23.903834769502442,-806.4881224731147
1,280,3987.0,173.82644343734128,-35.75076528868747,-1129.2629288196508
1,290,5158.0,225.69820507376144,-46.00913964101475,-1507.739004229468
1,300,4316.0,174.26001511732142,-37.66285200302347,-1921.6380211499823
1,310,3515.0,213.79506413798063,-32.06275901282759,-2318.3405422868045
1,320,5136.0,168.46894098439776,-45.741693788196876,-2703.485974782349
1,330,6948.0,239.26100915960515,-60.171852201831925,-3243.3130801276743
1,340,7195.0,203.97647568479297,-61.42079529513697,-3845.8153187371795
1,350,6320.0,220.244734015882,-54.424048946803175,-4479.989253175253
1,360,7199.0,244.42833973338605,-63.14088566794668,-5080.5970965791175
1,370,7450.0,259.6478792878518,-65.71192957585758,-5691.921942724561
1,380,8772.0,252.7470355485658,-76.04654940710972,-6388.2185625564525
1,390,8895.0,226.28307687154984,-75.98525661537433,-7184.088994331541
2,400,0.0,33.303288108154256,0.09333934237836916,0.09333934237836916
2,410,318.0,72.21851342761664,-3.5784437026855236,-17.35142242525199
2,420,567.0,61.366866457655675,-5.968273373291533,-65.71583886556687
2,430,729.0,86.89875397538398,-7.2693797507950775,-137.0553506658604
2,440,1214.0,83.22758838808299,-11.708645517677619,-235.08868230403507
2,450,1946.0,132.67556772913707,-17.894535113545825,-389.3804625755551
2,460,2345.0,109.65325345502654,-20.921930650691003,-591.871720632167
2,470,1494.0,107.48363729780989,-13.713496727459564,-751.441384420978
2,480,2485.0,157.89620761791414,-22.371579241523584,-940.4345157228605
2,490,1718.0,130.9519827402857,-16.230190396548053,-1117.8237347458762
