episode,reward
1,-777.2588185766467
2,-652.3755446002787
3,-686.7335104169695
4,-572.5939270175224
5,-505.7179549897425
6,-737.2828620963287
7,-890.3781187596077
8,-883.0222197761012
9,-320.46924737119645
10,-429.75297097507524
11,-433.42099354168283
12,-327.2470755489243
13,-511.8124874492344
14,-496.04455001462503
15,-439.52651914006634
16,-411.44016089843046
17,-88.51847028900413
18,-134.34739832962836
19,-871.6750699200246
20,-105.82807334849092
21,-822.7337947759298
22,-659.4313236401686
23,-209.07672453482343
24,-724.8833904231909
25,-293.6829841236084
26,-439.1888380677814
27,-804.5795589471664
28,-653.7627134348277
29,-218.44562746149202
30,-14.245687328684088
31,-167.95574873991947
32,-144.12595538251384
33,-702.9371582904472
34,-20.768593261844657
35,-53.278342215585155
36,-141.2315098445081
37,17.554425987500082
38,14.74496843048237
39,-126.33602767098691
40,-210.53662810924456
41,-10.914889385086525
42,-137.63221948958375
43,-109.97557489636337
44,-4.429841584968575
45,-92.27070567865769
46,-6.564962403507877
47,-193.84305191375827
48,-34.209762403771016
49,-173.87794608274498
50,-84.30859015486836
51,-354.5797885109313
52,-68.02591507497466
53,32.327890650123386
54,-193.40936829299557
55,-2.6640502956260486
56,-37.55149113463041
57,12.931964292682137
58,-218.89008210779215
59,-38.42076228798793
60,-32.744599974828006
61,20.181986223794198
62,-474.59612938275023
63,-33.926597283824655
64,26.898947632493854
65,-203.35946923927605
66,-25.97789563264173
67,-383.74549670861677
68,-34.30040591094152
69,-350.4729279044165
70,-81.31465793546353
71,-25.36332407344554
72,7.243433296185659
73,-202.06892904883475
74,-58.38690481787621
75,-2.8553082722865493
76,-550.9288919071481
77,-301.5594539037145
78,-32.2461910414985
79,-361.07316145207056
80,40.41501376228932
81,16.724726412005403
82,-42.79849074682198
83,-16.895702107419908
84,-16.728068923109575
85,-301.62426802887916
86,26.600878282906955
87,6.22078008849382
88,0.2022904325264967
89,-103.54144474373925
90,-97.84805486629297
91,-9.801076344161576
92,-70.44774032190097
93,-51.61493246537528
94,46.70766177558933
95,-360.1151860848917
96,-182.53408822086357
97,-112.0747074297984
98,-171.15072963887263
99,-236.393579376189
100,-289.3699022053829
101,-108.17693836171115
102,-35.437535766771205
103,0.8404741903003718
104,-126.33037326491517
105,-70.02583684395525
106,30.32545688387579
107,-115.04241847569789
108,-17.20362497579383
109,-10.4701256924798
110,-143.025920667594
111,-36.160470202611826
112,-154.35959559791928
113,-7.604346877624725
114,-69.76967327297984
115,-415.0725666790985
116,-16.572490909792343
117,10.22246407374568
118,19.494570888120133
119,28.787799001871683
120,19.16682447961472
121,-8.502560188380572
122,-37.17854757226023
123,-1.2188366506518817
124,-19.17374392982995
125,2.3683141296594363
126,3.9502215222165984
127,0.8628066702013797
128,-18.84071385127625
129,-27.88316884710662
130,-83.91404258629389
131,-309.2135043164168
132,-4.9148806249509915
133,-73.81517986507896
134,-248.3184236667369
135,-62.63073760268729
136,-52.042410964754254
137,-142.4066886505255
138,-27.757596446365277
139,-82.30054360516057
140,47.576609601029666
141,-15.271366892480115
142,13.127640727931723
143,-26.75958281195326
144,19.91320491937954
145,8.226837111043551
146,-39.91349784641023
147,-30.11636180719343
148,-2.258466073788022
149,-16.954143895549652
150,-0.15622238607218764
151,5.831645358635228
152,-47.8277914618612
153,-176.16646118605868
154,1.8867096670686068
155,-58.73062147574371
156,35.50605100677127
157,-38.117078585123025
158,19.20280057691853
159,12.062406811162667
160,-29.646086065981997
161,17.467481185694304
162,-44.86603835014377
163,-33.13429408730039
164,22.986748669062173
165,-48.49979127846793
166,-131.7113318104906
167,-73.87175871725483
168,25.41797981622911
169,1.2098104267539642
170,-50.16995457780717
171,-38.77502743849968
172,24.625313921416673
173,-6.185373813878185
174,1.8619519923492391
175,-60.76848067838789
176,-8.530296124144902
177,24.717009621904715
178,4.555992256374249
179,12.713311649228224
180,-71.12737164573942
181,-19.703096643995327
182,23.40199499648478
183,-74.01585959272724
184,-17.578765528099932
185,-22.58319546431639
186,-18.121216063553103
187,-37.73261284085899
188,-5.551115484060491
189,-36.90621089545877
190,-17.52814039710508
191,-51.25958817951583
192,-23.856649648272274
193,-233.28854546912254
194,-1.9945793580004938
195,12.857503596026628
196,38.1898065282967
197,-242.8204867925154
198,-508.3089605279906
199,-33.15326782356269
200,6.490249465094018
