episode,reward
1,-722.7602686487705
2,-557.4697174157294
3,-520.6039329313352
4,-162.8895601392595
5,-220.0055408145512
6,-586.3044347793123
7,-688.5460104239255
8,-512.9292552384065
9,-303.4700612799554
10,-190.79340211016577
11,-91.19568645011402
12,-182.4471186869451
13,-561.2679271580655
14,-676.903150745582
15,-267.2839039801665
16,-135.36880064841714
17,-811.5661533992791
18,-722.249073311396
19,-77.29400592139658
20,-120.43526047088922
21,-803.2322908575501
22,-32.876589600183465
23,-2.6849192692022488
24,-432.7306377486387
25,-182.1459994979904
26,-162.27145565923126
27,-70.51807573090778
28,-28.502992850988022
29,-448.7155995873904
30,-140.87905211986836
31,-839.5110910495607
32,-9.00524940463788
33,-66.77536301757848
34,-16.394087465157995
35,-2.8012171785597264
36,-142.59752413492066
37,22.084618512592957
38,-41.33508002583351
39,-112.85142735610957
40,-140.13872840380887
41,-363.76301837864145
42,-441.34111365376293
43,-0.0953621580957309
44,11.800363717105785
45,-16.408045968098683
46,-129.6523555112037
47,-45.590476910613894
48,-43.307022369770095
49,80.81263718717506
50,-3.24496883772941
