episode,step,waiting_time,co2_emission,reward,episode_reward
0,0,0.0,1.8896243456438244,-0.03779248691287649,-0.03779248691287649
0,10,79.0,35.860971011109775,-1.4292194202221955,-7.112713049533394
0,20,575.0,87.92164715679515,-6.574432943135903,-48.400163556395114
0,30,1373.0,91.92302818428323,-13.006460563685666,-159.4357101145681
0,40,2063.0,101.19369066209745,-18.78387381324195,-306.0819713942264
0,50,1023.0,81.39585645845317,-9.915917129169063,-424.77059282204544
0,60,1628.0,76.35640427085761,-14.655128085417152,-569.6527799414778
0,70,961.0,78.12231439541763,-9.362446287908353,-680.8858648391132
0,80,1492.0,71.90100552643962,-13.486020110528795,-809.6538486322485
0,90,1290.0,103.77552044434444,-12.563510408886888,-949.175816907234
0,100,860.0,91.92178580869027,-8.814435716173806,-1067.4769537497416
0,110,1131.0,97.90517254794167,-11.246103450958834,-1160.0005372640421
0,120,985.0,85.76172606763187,-9.683234521352638,-1274.7603364003453
0,130,1023.0,107.18058103787902,-10.59161162075758,-1355.2107555469756
0,140,1246.0,102.76050757150145,-12.287210151430028,-1456.7509478167583
0,150,1096.0,67.10641421431008,-10.222128284286203,-1566.6393782317919
0,160,974.0,85.14874310461151,-9.59097486209223,-1685.6487990208861
0,170,360.0,83.73526150892238,-4.642705230178447,-1746.2453494451913
0,180,253.0,106.43897416159307,-4.2407794832318615,-1789.6684147938852
0,190,600.0,64.10967322905826,-6.138193464581166,-1846.2603831037798
1,200,0.0,7.536109564604204,-0.15072219129208408,-0.15072219129208408
1,210,175.0,43.81052685503042,-2.3642105371006084,-9.600824139337124
1,220,153.0,64.89925456653299,-2.63398509133066,-30.279712750286002
1,230,503.0,79.13250375484799,-5.71865007509696,-74.50127462484876
1,240,811.0,81.23040156193206,-8.232608031238641,-140.32965080902832
1,250,578.0,98.26187146060921,-6.789237429212185,-196.4530760372482
1,260,720.0,71.2199048030492,-7.248398096060985,-269.09858615157736
1,270,433.0,71.84735660467075,-5.020947132093416,-323.4135182277635
1,280,318.0,75.68226607716151,-4.11364532154323,-372.18278025241915
1,290,86.0,65.76227035544858,-2.0832454071089717,-399.7087924784989
1,300,164.0,68.6480971139469,-2.724961942278938,-428.759172010832
1,310,1127.0,90.12341787361778,-10.922468357472358,-507.5541346229925
1,320,796.0,81.05161438114678,-8.013032287622936,-616.9654431258027
1,330,445.0,86.63454517577722,-5.492690903515545,-661.9439527268324
1,340,807.0,91.1427178272355,-8.39885435654471,-741.1634714990741
1,350,98.0,72.74917423698484,-2.246983484739697,-797.4451754855371
1,360,206.0,64.01664460750145,-3.048332892150029,-820.5014429927302
1,370,723.0,99.55778412759365,-7.927155682551873,-887.7745410156899
1,380,409.0,72.3285226007256,-4.790570452014512,-951.607971121495
1,390,177.0,66.52705607832553,-2.850541121566511,-982.5297330586137
2,400,0.0,9.216457397356418,-0.18432914794712837,-0.18432914794712837
2,410,228.0,56.594329718630355,-3.0918865943726073,-10.681713748650123
