step,episode,waiting_time,co2_emission,reward
95,1,48.0,66.61754352243634,-170.80536694526592
100,1,133.0,48.598483050007715,-178.83206386150897
105,1,472.0,83.94580831724994,-202.6422723157402
110,1,305.0,73.40753482945047,-225.19834522013184
115,1,264.0,86.75200897752993,-245.30419692470545
120,1,361.0,78.33083807247601,-263.3416931488049
125,1,382.0,69.62495611320271,-287.41331275562186
130,1,318.0,65.69331645776103,-307.9509319245332
135,1,416.0,93.79294016928102,-329.6188943577062
140,1,597.0,72.41512776444907,-357.112156928952
145,1,734.0,72.73929562631987,-391.0965781491276
150,1,951.0,88.0677687687105,-438.58023839099945
155,1,756.0,75.83742133826131,-479.0989113586138
160,1,279.0,99.00522153093827,-511.69982399420405
165,1,218.0,88.81304216061079,-530.19243243449
170,1,263.0,77.75262761716581,-550.4875321540221
175,1,127.0,98.15491732304642,-567.4565211979298
180,1,193.0,96.91221634011605,-581.8521962653658
185,1,366.0,78.96577913636492,-600.1812340390256
190,1,694.0,91.18102656551692,-633.8638432545687
195,1,427.0,76.00429539824142,-662.2769829826552
0,2,0.0,11.431451594633916,-0.22862903189267836
5,2,14.0,32.481613526193044,-2.9934452660829463
10,2,37.0,34.83856842684654,-7.575322818266703
15,2,194.0,51.871488952645635,-15.427235337402633
20,2,148.0,56.26562709730707,-29.270395709017144
25,2,186.0,70.54595837868693,-40.82037218758262
30,2,356.0,67.35979238568397,-60.10283684502081
35,2,549.0,96.45741633740704,-93.45864616527929
40,2,209.0,68.94039675686109,-114.24484197376401
45,2,280.0,75.45323296403376,-132.11292652598124
50,2,256.0,68.17342472478829,-148.6014146849017
55,2,860.0,98.41924294879861,-183.16029755339883
60,2,722.0,68.20557214335112,-221.19472636553496
65,2,498.0,66.5426620731593,-248.14130899922864
70,2,482.0,92.54734273625905,-283.2614284993773
75,2,270.0,76.678252957881,-304.51491923660916
80,2,530.0,103.08495167755031,-327.93320721741446
85,2,497.0,99.9428791681095,-364.6530992950093
90,2,385.0,83.82882226951313,-390.71305759794427
95,2,385.0,73.60314596415654,-413.05919485748905
100,2,180.0,53.13706154149445,-428.4820493823643
105,2,36.0,67.6693029975198,-440.477389889139
110,2,118.0,111.33716307712221,-452.4222262279401
115,2,140.0,83.18737561680773,-465.1324540115909
120,2,158.0,78.65579184153049,-481.59657585502885
125,2,374.0,87.28916936361044,-500.00115985384326
130,2,595.0,85.21981630949935,-530.0989266585595
135,2,251.0,79.78972217057728,-555.0361451606525
140,2,118.0,103.37675269878032,-573.3422710117957
145,2,125.0,72.74841293399163,-589.173248363211
150,2,188.0,78.8232232333448,-603.2330768616753
155,2,100.0,70.45207859539174,-615.6249449201803
160,2,698.0,99.72638375297623,-640.8906469487562
165,2,914.0,73.86764305007102,-683.3129538578909
170,2,794.0,64.51169984971426,-724.1673600807418
175,2,76.0,80.77818212568607,-744.8251270792706
180,2,70.0,82.19981374291409,-756.203903173348
185,2,143.0,75.47907378351005,-767.5353191108709
190,2,671.0,98.923844484098,-798.6638009397001
195,2,137.0,47.45426035128127,-821.190480363122
0,3,0.0,6.49875204700151,-0.1299750409400302
5,3,2.0,18.32011017505406,-2.0764033004788915
10,3,37.0,22.24526787308275,-4.490957064944425
15,3,1.0,17.421868511732985,-9.254005859259129
20,3,12.0,47.42914085563192,-13.260831913635524
25,3,21.0,41.93643326077443,-17.930615995541107
30,3,204.0,52.88840066263476,-25.373703842084527
35,3,222.0,56.45312085024273,-41.45210170620854
40,3,96.0,66.40275382658957,-56.474034772210594
45,3,258.0,75.56872977699166,-71.35393624745171
50,3,122.0,59.80113688551349,-83.24317644118979
55,3,136.0,57.346750211567546,-94.10567472840349
60,3,72.0,32.79225437043855,-101.6831237442365
65,3,107.0,51.73793487436199,-108.93318968764468
70,3,139.0,45.6536393898722,-119.79908495072854
75,3,28.0,56.036975422506686,-128.27810330082997
80,3,77.0,67.20577089105372,-136.72898080967468
85,3,33.0,27.256222138456547,-145.61904882257122
90,3,157.0,59.83417542335985,-157.159250374837
95,3,208.0,76.75397911669228,-173.98611194326588
100,3,235.0,84.54512122760462,-190.00363971364084
105,3,407.0,82.36209376323487,-211.7835397236968
110,3,310.0,97.9906950429576,-237.40095765782556
115,3,159.0,82.88091451418336,-253.8073211407565
120,3,147.0,71.6766553730679,-265.8420877180783
125,3,233.0,73.64652262394604,-280.61866241647823
130,3,346.0,104.13490477704296,-305.25021836666804
135,3,129.0,79.7102140997017,-322.77545012927897
140,3,320.0,86.48846748760273,-339.39666622208165
145,3,252.0,80.7992724383807,-358.71223019131156
150,3,261.0,80.74332034681636,-376.4308802863722
155,3,194.0,72.33479100128491,-391.64199816432904
160,3,150.0,72.69347361201608,-408.63131151148303
165,3,311.0,85.96790973497619,-424.7615633213418
170,3,376.0,58.65323022927447,-445.65072773133255
175,3,429.0,70.2130973421597,-469.62632651898326
180,3,292.0,78.91268513759003,-491.2659434340048
185,3,35.0,61.44474915371369,-502.5081380783539
190,3,92.0,78.8333038277429,-512.4871268330886
195,3,212.0,73.05754851060635,-526.0922608918125
0,4,0.0,4.187516385518942,-0.08375032771037884
5,4,6.0,26.671308396425925,-2.342005595235731
10,4,17.0,46.29125760170628,-7.026547098142547
15,4,207.0,44.406254113805765,-14.765004873843797
20,4,287.0,44.22149337247688,-33.56009624629945
25,4,349.0,69.95206876150762,-55.79769718946982
30,4,187.0,78.72285897754915,-77.1521632952049
35,4,128.0,65.20322495088801,-88.61303942355626
40,4,282.0,74.11675084421894,-104.20397840600864
45,4,482.0,83.46819291743557,-133.83167841344587
50,4,522.0,92.16572602368015,-164.77666636032575
55,4,343.0,88.36303961211202,-195.34906939477133
60,4,162.0,68.1630750737172,-208.875094168703
65,4,502.0,86.61016258748754,-234.3833784488517
70,4,494.0,110.72924419530895,-267.8556755346891
75,4,496.0,88.88033900579461,-298.3492388526144
80,4,248.0,80.60840592819748,-325.22589393449124
85,4,106.0,72.26483129690804,-336.51535285899587
90,4,116.0,74.92848403829387,-349.3409369978499
95,4,198.0,103.95088665344272,-366.1236500131104
100,4,127.0,84.27766851238077,-380.8759114173173
105,4,118.0,84.9067570120247,-394.458849567493
110,4,178.0,99.70961564071915,-410.3088628226412
115,4,200.0,77.02027199902233,-426.7173555660409
120,4,182.0,72.62825421637315,-440.31423669345463
125,4,438.0,95.31455650529793,-467.139847152146
130,4,445.0,64.98771437649054,-490.96091998466403
135,4,334.0,78.0923417322552,-515.4539019290168
140,4,172.0,78.67972591024773,-530.8947879011159
145,4,102.0,73.00322160041493,-545.7218794758764
150,4,56.0,81.42126030683961,-557.1862795809676
155,4,175.0,86.27976742197272,-568.4981988222223
160,4,626.0,82.24530797756636,-598.6654064614133
165,4,625.0,80.8109701007001,-631.8997311948001
170,4,623.0,83.314895738069,-662.5072581397242
175,4,176.0,69.10640867378378,-685.5848307005368
180,4,88.0,87.71343258541346,-699.2064911430612
185,4,41.0,84.91178029213408,-709.8723612869281
190,4,319.0,96.86528534348916,-723.7672102313102
195,4,351.0,98.67636627234825,-751.0519338801965
0,5,0.0,4.76857076976437,-0.0953714153952874
5,5,7.0,26.401505289885,-2.4330711815523407
10,5,20.0,15.221687041948378,-5.081130976135888
15,5,2.0,13.2798570130009,-7.110398776612726
20,5,26.0,44.223795427497066,-11.95165415965334
25,5,100.0,54.618135970162236,-19.644588667315524
30,5,210.0,78.43461400580364,-33.173577144979674
35,5,171.0,66.62210698716471,-48.47992149149909
40,5,81.0,74.59788233316671,-61.91161984945389
45,5,180.0,107.83539120223661,-77.42783539044102
50,5,272.0,93.04982504035046,-95.82169984016949
55,5,218.0,87.70888438624308,-114.03947230615532
60,5,241.0,91.22766956882,-132.50954176895755
65,5,215.0,62.33471921558477,-147.2584525794636
70,5,100.0,82.81125072359517,-162.6074159330915
75,5,269.0,83.18908258342377,-175.65442328898476
80,5,225.0,55.60470241409572,-193.73025138849422
85,5,201.0,69.31056701493806,-208.44608610797164
90,5,173.0,72.34395482048404,-221.47397131737705
95,5,348.0,82.1630416877288,-240.37748028532147
100,5,191.0,83.09943550783319,-261.27180875399125
105,5,87.0,98.86926532347523,-275.80790902067315
110,5,186.0,82.52602119482435,-287.7315013000014
115,5,484.0,67.00750582860147,-310.8278720953708
120,5,290.0,67.28845183790907,-335.2480660280266
125,5,395.0,94.84663963934447,-358.86288097213725
130,5,220.0,71.01610814763077,-376.2476681701681
135,5,31.0,57.8620768682899,-387.39107615835036
140,5,258.0,94.01198083635911,-401.75252888350013
145,5,230.0,66.1223344532116,-422.3425737075837
150,5,291.0,93.25620799326911,-441.8341370287908
